col,horizon_min,n_rows,winsor_lo,winsor_hi,winner_label,train_mae_ridge,train_mae_hgb,train_mae_rf,train_mae_blend,train_mae_winner,val_mae_naive_lag1,val_mae_ridge,val_mae_hgb,val_mae_rf,val_mae_blend,val_mae_winner,sv_winner,wf_disagrees_sv,blend_a,blend_b,blend_w_on_a,test_mae_ridge,test_mae_hgb,test_mae_rf,test_mae_blend,test_mae_winner,test_mae_at_sv_winner,test_mae_at_wf_winner,winner,wf_used,wf_n_folds,wf_mean_val_mae_ridge,wf_mean_val_mae_hgb,wf_mean_val_mae_rf,wf_mean_val_mae_blend
77,45,138977,382.0,415.0,blend:ridge+rf w=0.95,2.667425171304757,2.1279070135373366,1.6795002634299407,2.61298684615485,2.61298684615485,4.297561259467352,3.6198958418218274,3.811820731052052,3.80674657589082,3.619591367410428,3.619591367410428,blend,False,ridge,rf,0.9500000000000001,3.830101451792525,4.038583206567248,4.185322668113416,3.821672364747361,3.821672364747361,3.821672364747361,3.821672364747361,blend,True,7,2.969031840312287,4.163232130004422,3.8092623421173823,2.9526366701235145
71,45,123787,55.0,78.9,blend:ridge+hgb w=1.00,3.446966399201961,2.683744196834273,2.314260384373214,3.446966399201961,3.446966399201961,4.349066988255168,3.828904380942251,4.367782184676199,4.248481873137851,3.828904380942251,3.828904380942251,ridge,True,ridge,hgb,1.0,4.510309675699686,4.80377526650529,4.70046833815391,4.510309675699686,4.510309675699686,4.510309675699686,4.510309675699686,blend,True,7,3.577586314648865,3.7949818748921507,3.736969209547155,3.571557739953988
15,180,148764,50.1000023,56.0,blend:ridge+hgb w=0.85,1.1602501809166001,1.070040612912875,1.0024059075480303,1.142438240176475,1.142438240176475,0.7720700137097617,0.5860047512235027,0.7224701384784437,0.7026823525728005,0.570359811932157,0.570359811932157,blend,False,ridge,hgb,0.8500000000000001,0.15523782750710735,0.5319127500799237,0.5516462846730747,0.18370098266501006,0.18370098266501006,0.18370098266501006,0.18370098266501006,blend,True,7,0.914186016688599,0.8927060770181832,0.9321237771892571,0.83431043351795
16,180,149367,50.0545855,56.0,blend:ridge+hgb w=0.88,1.1381656428331184,1.0732073919874454,1.0135223576903425,1.127453614290054,1.127453614290054,0.7647827139169083,0.5692427684316269,0.6979476662081906,0.6933413627027148,0.5604060710251056,0.5604060710251056,blend,False,ridge,hgb,0.875,0.15788769228080976,0.592240234401058,0.663568723524708,0.2026663973456391,0.2026663973456391,0.2026663973456391,0.2026663973456391,blend,True,7,0.8853089975990306,0.8641992125089721,0.8748048683878125,0.8382619216469651
17,180,148803,1.21499991,2.2259500000000845,blend:ridge+hgb w=1.00,0.13933706505806137,0.12810493171254708,0.11457176783791041,0.13933706505806137,0.13933706505806137,0.2236045886450068,0.1768176098336792,0.1850604896435975,0.1864646723511962,0.1768176098336792,0.1768176098336792,ridge,True,ridge,hgb,1.0,0.19205370152380097,0.17599170834498457,0.17537946311344896,0.19205370152380097,0.19205370152380097,0.19205370152380097,0.19205370152380097,blend,True,7,0.15778236921053088,0.1722657139209108,0.17099954324175723,0.1574707851001838
18,180,149337,1.2151549212000001,2.183832502700002,blend:ridge+hgb w=1.00,0.13610155509914076,0.12851520189668786,0.11557433526047287,0.13610155509914076,0.13610155509914076,0.22242685027344586,0.17109360993996917,0.17669748764668303,0.187785133371017,0.17109360993996917,0.17109360993996917,ridge,True,ridge,hgb,1.0,0.1875415664550233,0.16880571828295263,0.16937567502842082,0.1875415664550233,0.1875415664550233,0.1875415664550233,0.1875415664550233,blend,True,7,0.1536592767408267,0.16086483275649743,0.1637073119346966,0.15309393590549406
19,180,148803,3.41465259,9.237698770000172,blend:ridge+rf w=0.62,0.9760450584148096,0.9233983322681262,0.8723406389178171,0.9311299584666328,0.9311299584666328,1.4736480699089978,1.042343331690052,1.0646279399178435,1.0474690922282879,1.0378851446524133,1.0378851446524133,blend,False,ridge,rf,0.625,0.986772329776813,1.0254814788169273,1.0116649733966878,0.9849192124189555,0.9849192124189555,0.9849192124189555,0.9849192124189555,blend,True,7,1.0356479262736444,1.1000683712741315,1.0981995773583129,1.0256487849243308
20,180,149590,3.4243880357000003,9.329870080000145,blend:ridge+hgb w=1.00,0.9534556454573405,0.9311863037412984,0.8730844273595894,0.9534556454573405,0.9534556454573405,1.4626647714563235,1.0107886381350906,1.0232288880712073,1.0351528870306317,1.0107886381350906,1.0107886381350906,ridge,True,ridge,hgb,1.0,0.9724596713123781,0.9918165317990565,0.9989031891523191,0.9724596713123781,0.9724596713123781,0.9724596713123781,0.9724596713123781,blend,True,7,1.000007191581946,1.0164049935666042,1.0335791006106876,0.9847338356476415
75,180,139141,380.6666666666667,412.0,blend:ridge+hgb w=0.70,2.472260258101279,1.7127487374592458,1.2242889551361518,2.18532899793735,2.18532899793735,3.6925467409501755,2.9627681868944737,3.089617290476138,3.170654456415499,2.932280191674197,2.932280191674197,blend,False,ridge,hgb,0.7000000000000001,2.762439754995183,2.981840163363942,3.0107848788261813,2.7008711421980856,2.7008711421980856,2.7008711421980856,2.7008711421980856,blend,True,7,3.052496900477084,3.458410014563412,3.4858405191603667,2.7765115004295153
76,180,138399,382.0,416.0,blend:ridge+hgb w=0.68,3.3524466707271046,2.5262304867238963,1.7888100231506565,3.030282515667248,3.030282515667248,5.480762915411815,4.44370321404064,4.551673107922738,4.991396910569735,4.409601537935086,4.409601537935086,blend,False,ridge,hgb,0.675,4.355185194977182,4.520544697254226,4.887721406461372,4.323941933148156,4.323941933148156,4.323941933148156,4.323941933148156,blend,True,7,3.832155824440103,4.461112068178489,4.359930030400431,3.7529193463982926
